route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,"10","Van Horne",,700,,ED1C24,FFFFFF
100,1,"100","Flemingdon Park",,700,,ED1C24,FFFFFF
101,1,"101","Downsview Park",,700,,ED1C24,FFFFFF
102,1,"102","Markham Rd",,700,,ED1C24,FFFFFF
103,1,"103","Mount Pleasant North",,700,,ED1C24,FFFFFF
104,1,"104","Faywood",,700,,ED1C24,FFFFFF
105,1,"105","Dufferin North",,700,,ED1C24,FFFFFF
106,1,"106","Sentinel",,700,,ED1C24,FFFFFF
107,1,"107","Alness-Chesswood",,700,,ED1C24,FFFFFF
108,1,"108","Driftwood",,700,,ED1C24,FFFFFF
109,1,"109","Ranee",,700,,ED1C24,FFFFFF
11,1,"11","Bayview",,700,,ED1C24,FFFFFF
110,1,"110","Islington South",,700,,ED1C24,FFFFFF
111,1,"111","East Mall",,700,,ED1C24,FFFFFF
112,1,"112","West Mall",,700,,ED1C24,FFFFFF
113,1,"113","Danforth",,700,,ED1C24,FFFFFF
114,1,"114","Queens Quay East",,700,,ED1C24,FFFFFF
115,1,"115","Silver Hills",,700,,ED1C24,FFFFFF
116,1,"116","Morningside",,700,,ED1C24,FFFFFF
117,1,"117","Birchmount South",,700,,ED1C24,FFFFFF
118,1,"118","Thistle Down",,700,,ED1C24,FFFFFF
119,1,"119","Torbarrie",,700,,ED1C24,FFFFFF
12,1,"12","Kingston Rd",,700,,ED1C24,FFFFFF
120,1,"120","Calvington",,700,,ED1C24,FFFFFF
121,1,"121","Esplanade-River",,700,,ED1C24,FFFFFF
122,1,"122","Graydon Hall",,700,,ED1C24,FFFFFF
123,1,"123","Sherway",,700,,ED1C24,FFFFFF
124,1,"124","Sunnybrook",,700,,ED1C24,FFFFFF
125,1,"125","Drewry",,700,,ED1C24,FFFFFF
126,1,"126","Christie",,700,,ED1C24,FFFFFF
127,1,"127","Davenport",,700,,ED1C24,FFFFFF
129,1,"129","McCowan North",,700,,ED1C24,FFFFFF
13,1,"13","Avenue Rd",,700,,ED1C24,FFFFFF
130,1,"130","Middlefield",,700,,ED1C24,FFFFFF
131,1,"131","Nugget",,700,,ED1C24,FFFFFF
132,1,"132","Milner",,700,,ED1C24,FFFFFF
133,1,"133","Neilson",,700,,ED1C24,FFFFFF
134,1,"134","Progress",,700,,ED1C24,FFFFFF
135,1,"135","Gerrard",,700,,ED1C24,FFFFFF
14,1,"14","Glencairn",,700,,ED1C24,FFFFFF
149,1,"149","Etobicoke-Bloor",,700,,ED1C24,FFFFFF
15,1,"15","Evans",,700,,ED1C24,FFFFFF
154,1,"154","Curran Hall",,700,,ED1C24,FFFFFF
16,1,"16","McCowan",,700,,ED1C24,FFFFFF
160,1,"160","Bathurst North",,700,,ED1C24,FFFFFF
